30 30
 27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7     27.7    
 29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4     29.4    
 31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2     31.2    
 32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9     32.9    
 34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6     34.6    
 36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4     36.4    
 38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1     38.1    
 39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8     39.8    
 41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6     41.6    
 43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3     43.3    
 45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45       45      
 46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8     46.8    
 48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5     48.5    
 50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2     50.2    
